id,description,alternativeDescription,city,province,cap,address,phone,piva,notes,mail,sector_id
2060,"DI CARMINE MICHELE & C.",,NULL,NULL,,,,NULL,dicarmine@legalmail.it,dicarmine@legalmail.it,10
2061,"DICO S.P.A.",,NULL,NULL,,"VIA RAFFAELE COSTI, 90
 00155 ROMA (RM)",,NULL,sd.spa@pec-dico.it,sd.spa@pec-dico.it,10
2062,"DIGITAL ANGELS S.R.L.",,NULL,NULL,,,,NULL,HEAVEN@PEC.DIGITALANGELS.COM,HEAVEN@PEC.DIGITALANGELS.COM,10
2063,"DIPROS S.R.L.",,NULL,NULL,,,,NULL,dipros@legalmail.it,dipros@legalmail.it,1
2064,"DIREZIONE LAVORO GROUP S.P.A.",,NULL,NULL,,"VIA TIRSO 14   00198 ROMA RM",,NULL,PEC.@PEC.DIREZIONELAVOROGROUP.IT,PEC.@PEC.DIREZIONELAVOROGROUP.IT,10
2065,"DISCOUNT 1 SRL",,NULL,NULL,,,,NULL,,NULL,10
2066,"SUPERMERCATO DUE S.R.L.",,Ciampino,Roma,00043,"Via Pirzio Biroli, 37",,,,SUPERMERCATODUESRL@LEGALMAIL.IT,10
2067,"DISCOUNT OTTO S.R.L.",,NULL,NULL,,"VIA BIAGIO PETROCELLI 40",,NULL,DISCOUNT8SRL@LEGALMAIL.IT,DISCOUNT8SRL@LEGALMAIL.IT,10
2068,"DISTRIBUZIONE ROMA S.R.L. (Civitavecchia)",,NULL,NULL,,,,NULL,,NULL,1
2069,"DOC ROMA S.R.L.",,Roma,Roma,,"Roma (RM) -Via Del Fosso Del Torrino 10",,,ufficio.personale@pec.docroma.coop.it,ufficio.personale@pec.docroma.coop.it,10
2070,"DODICI 50 SRL",,NULL,NULL,,,,NULL,DODICI50SRL@LEGALMAIL.IT,DODICI50SRL@LEGALMAIL.IT,10
2071,"DOLCE E GABBANA S.R.L.",,NULL,NULL,,"VIA GOLDONI 10
20129 MILANO (MI)",,NULL,AMMINISTRAZIONE.DOLCEGABBANA@LEGALMAIL.IT,AMMINISTRAZIONE.DOLCEGABBANA@LEGALMAIL.IT,10
2072,"DOUGLAS ITALIA S.P.A.",,NULL,NULL,,,,NULL,douglasitaliaspa@pecimprese.it,douglasitaliaspa@pecimprese.it,1
2073,"DUSSMANN SERVICE S.R.L.",,Milano,Milano,00124,"Via S.Gregorio, 552","06 72672785",,"direzionerisorseumane@pec.dussmann.it
H.R.",dussmann@gigapec.it,13
2074,E.BI.TEMP.,,NULL,NULL,,,,,,amministrazione@pec.ebitemp.it,1
2075,"EATALY DISTRIBUZIONE S.R.L.",,NULL,NULL,,"Via Nizza, 224 
Torino (TO)",,NULL,eatalyufficiopersonale@pec.it,eatalyufficiopersonale@pec.it,16
2076,EBINTER,,NULL,NULL,,,,NULL,,NULL,10
2077,"EG ITALIA S.P.A.",,NULL,NULL,,"VIALE A.G. EIFFEL 13-15
00148 ROMA RM",,NULL,egitaliaspa@legalmail.it,egitaliaspa@legalmail.it,10
2078,"EHSI S.R.L.",,NULL,NULL,,"VIA G. PORZIO 4
80143 NAPOLI (NA)",,NULL,EHSI@PEC.IT,EHSI@PEC.IT,8
2079,"ELIOR RISTORAZIONE SPA",,NULL,NULL,,"Via Benedetto Croce, 68
 00142 Roma (RM)",,NULL,elior.ristorazione@legalmail.it,elior.ristorazione@legalmail.it,13
2080,"EMME. CI. SRL",,NULL,NULL,,"L.go Colli Albani, 1500179 Roma",,,,postacertificata@pec.emmeci.eu,16
2081,"EMMEPIU'  S.R.L.",,Roma,Roma,00173,"Via Bernardino Alimena, 83",,,,EMMEPIU@LEGALMAIL.IT,12
2082,ENFAP,,NULL,NULL,,,,NULL,,NULL,10
2083,"ENIT- AGENZIA NAZIONALE DEL TURISMO",,Roma,Roma,00185,"Via Marghera, 2",,,direzionerisorseumane@cert.enit.it,direzionerisorseumane@cert.enit.it,2
2084,"ENTE BILATERALE DEL TURISMO - EBTL",,NULL,NULL,,,,NULL,,NULL,2
2085,"ERNST - YOUNG FINANCIAL - BUSINESS ADV",,NULL,NULL,,,,NULL,ey@legalmail.it,ey@legalmail.it,10
2086,"ERREBIAN S.P.A",,NULL,NULL,,"VIA DELL'INFORMATICA 8 00171 POMEZIA RM",,NULL,ERREBIAN-AMMINISTRAZIONE@GIGAPEC.IT,ERREBIAN-AMMINISTRAZIONE@GIGAPEC.IT,10
2087,"ESRI ITALIA S.P.A.",,NULL,NULL,,"VIA CASILINA 98,
00182 ROMA RM",,NULL,legale@pec.esri-italia.it,legale@pec.esri-italia.it,12
2088,"ESSILORLUXOTTICA ITALIA S.P.A. (EX GRANDVISION ITALY S.R.L.)",,NULL,NULL,,,,NULL,essilorluxotticaitalia@legalmail.it,essilorluxotticaitalia@legalmail.it,1
2089,"EURO & PROMOS S.P.A.",,NULL,NULL,,"VIA ANTONIO ZANUSSI 33100 UDINE (UD)",,NULL,EUROPROMOS@LEGALMAIL.IT,EUROPROMOS@LEGALMAIL.IT,3
2090,"EUROFER S.R.L.",,NULL,NULL,,"VIA TOMASINO D'AMICO 1
00166 ROMA RM","06 66181876",NULL,EUROFER2@PEC.IT,EUROFER2@PEC.IT,10
2091,"EUROPEAN SECURITY GROUP S.R.L.",,NULL,NULL,,"VIA ROBERTO MALATESTA 00179 ROMA RM",,NULL,ESG@LEGALMAIL.IT,ESG@LEGALMAIL.IT,17
2092,"EUROPLANET CASA",,NULL,NULL,,"VIALE J.F.KENNEDY
CIAMPINO",,NULL,EUROPLANET.CASA@PEC.IT,EUROPLANET.CASA@PEC.IT,10
2093,"EUROSPIN LAZIO S.P.A.",,NULL,NULL,,"Via Francesco Baracca, 2/4/604011 Aprilia (LT)",,,,ufficiopersonale@pec.eurospinlazio.it,10
2094,"EUTOURIST NEW SRL",,NULL,NULL,,"STRADA TORINO 31
10043 ORBASSANO, TO",,NULL,eutouristnew@legalmail.it,eutouristnew@legalmail.it,13
2095,"EY S.P.A.",,NULL,NULL,,,,NULL,ey@legalmail.it,ey@legalmail.it,10
2096,"EZI S.P.A.",,NULL,NULL,,"SEDE: VIA SAVONA 56/A
20144 MILANO (MI)",,NULL,AMMINISTRAZIONE.EZI@CERT.ZEGNA.IT,AMMINISTRAZIONE.EZI@CERT.ZEGNA.IT,10
2097,"F&B RETAIL S.R.L.",,NULL,NULL,,,,NULL,fbretail@legalmail.it,fbretail@legalmail.it,16
2098,"FACILITY SERVICE S.A.",,NULL,NULL,,,,NULL,FACILITYSERVICESOCCOOP@PEC.IT,FACILITYSERVICESOCCOOP@PEC.IT,16
2099,FARMACAP,,NULL,NULL,,"Via Ostiense, 131/L 00154 Roma (RM)",,,,direttore.generale@pec.farmacap.it,11
2100,"FARMACIA IL FARO S.R.L. ",,Civitavecchia,Roma,,,,,FARMACIAILFAROSRL@PEC.IT,FARMACIAILFAROSRL@PEC.IT,11
2101,"FARMACIA PORTUENSE SAS",,NULL,NULL,,"VIA PORTUENSE 425D",,NULL,FARMACIAPORTUENSESAS@PEC.IT,FARMACIAPORTUENSESAS@PEC.IT,11
2102,"FARMACRIMI DISTRIBUZIONE S.R.L.",,NULL,NULL,,,,,,farmacrimisrl@legalmail.it,11
2103,"FART FONDARTIGIANATO FORM.",,NULL,NULL,,,,NULL,,NULL,18
2104,"FAS S.R.L.",,NULL,NULL,,"VIA TERME DI TRAIANO 72   00053 CIVITAVECCHIA RM",,NULL,FASFORNITURE@LEGALMAIL.IT,FASFORNITURE@LEGALMAIL.IT,10
2105,FASIV,,NULL,NULL,,,,NULL,FASIV@LEGALMAIL.IT,FASIV@LEGALMAIL.IT,3
2106,"FAST SERVIZI E APPALTI SRL",,NULL,NULL,,"VIA BOCCHERINI 3   00198 ROMA RM",,,,FASTSERVIZIEAPPALTI@PEC.IT,10
2107,"FEDEGROUP S.R.L.",,NULL,NULL,,"PIAZZA DELLA REPUBBLICA 
20121 MILANO (MI)",,NULL,fedegroupsrl1@legalmail.it,fedegroupsrl1@legalmail.it,8
2108,"FENDI S.R.L.",,NULL,NULL,,,,,,FENDI@LEGALMAIL.IT,10
2109,"FIDELITAS SPA",,Bergamo,Bergamo,,,,,,fidelitasdirezione@legalmail.it,17
2110,"FIERA ROMA S.R.L.",,NULL,NULL,,"VIA PORTUENSE, 164-1647
 00148 ROMA",0665074.200,NULL,FIERAROMAPEC@PEC.IT,FIERAROMAPEC@PEC.IT,1
2111,"FINIMCOM S.R.L. **EX DES ROMA 2019",,NULL,NULL,,"V.LE SAN BARTOLOMEO 32  00046 GROTTAFERRATA RM",,NULL,,NULL,10
2112,"FLAR 3 S.R.L.",,NULL,NULL,,"EX CESED (DICO PDV VIA TAGLIAMENTO)",,,,flartresrl@legalmail.it,10
2113,"FLAVIA SERVIZI S.R.L.",,NULL,NULL,,"VIALE EUROPA 20 00055 LADISPOLI RM",,NULL,INFO@PEC.FLAVIASERVIZI.IT,INFO@PEC.FLAVIASERVIZI.IT,3
2114,"FLEMING 23 S.R.L.",,NULL,NULL,,,,NULL,,NULL,10
2115,"FLUNCH SRL",,NULL,NULL,,,,NULL,CERT1@PEC.FLUNCH.IT,CERT1@PEC.FLUNCH.IT,16
2116,FON.TER,,NULL,NULL,,,,NULL,,NULL,1
2117,"FONDAZIONE BIO PARCO DI ROMA",,NULL,NULL,,,,NULL,dir.amministrativabioparco@pec.it,dir.amministrativabioparco@pec.it,1
2118,"FONDAZIONE E.N.P.A.I.A.",,NULL,NULL,,"Viale Beethoven, 48
00144 Roma",,NULL,personale@enpaia.it,personale@enpaia.it,14
2119,"FONDAZIONE S.CARITA' NEL NOME DI PAPA GIOVANNI",,NULL,NULL,,,,NULL,FONDAZIONECARITA@LEGALMAIL.IT,FONDAZIONECARITA@LEGALMAIL.IT,10
2120,"FONDAZIONE UGO BORDONI",,NULL,NULL,,"VIALE DEL POLICLINICO,147
00161 ROMA",,NULL,amministrazionefub@postecert.it,amministrazionefub@postecert.it,1
2121,"FONDO DI PREVIDENZA MARIO NEGRI",,NULL,NULL,,,06/491236,,,segreteria@pec.fondonegri.it,10
2122,"FONDO EST - ENTE DI ASSISTENZA SANITARIA",,NULL,NULL,,"VIA CRISTOFORO COLOMBO,137
00145 ROMA (RM)",,NULL,fondoest@pec.fondoest.info,fondoest@pec.fondoest.info,1
2123,"FONDO FON.TE.",,NULL,NULL,,,,NULL,,NULL,1
2124,"FONDO FOR.TE",,NULL,NULL,,"Via Nazionale, 89/a
00184 Roma",,NULL,DIREZIONE@PEC.FONDOFORTE.IT,DIREZIONE@PEC.FONDOFORTE.IT,10
2125,"FONDO PENSIONE EUROFER",,NULL,NULL,,"VIA BARI, 20
00161 ROMA (RM)",,NULL,FONDOEUROFER@PEC.IT,FONDOEUROFER@PEC.IT,10
2126,FONDOPROFESSIONI,,NULL,NULL,,,,NULL,amministrazione@pecfondoprofessioni.it,amministrazione@pecfondoprofessioni.it,1
2127,"FOODIE 2020 SRL",,NULL,NULL,,,,NULL,FOODIEIMMOBILIARESRL@PEC.IT,FOODIEIMMOBILIARESRL@PEC.IT,16
2128,"FOODITALIA SRL",,NULL,NULL,,,,NULL,legal.fooditalia@pec.it.mcd.com,legal.fooditalia@pec.it.mcd.com,16
2129,"FOOT LOCKER ITALY S.R.L.",,Milano,Milano,20154,"VIA CERESIO 7 ",,,,foot_locker_italy@pec.trustedmail.intesa.it,10
2130,"FORMA CAMERA",,NULL,NULL,,,,NULL,formacamera@rm.legalmail.camcom.it,formacamera@rm.legalmail.camcom.it,18
2131,FORMA.TEMP,,NULL,NULL,,"Piazza Barberini, 52
00187 Roma (RM)",,NULL,direzione@pec.formatemp.it,direzione@pec.formatemp.it,1
2132,"FOTOTTICA 1860 S.R.L.",,NULL,NULL,,"P.ZZA DELLA REPUBBLICA 61
00185 ROMA (RM)",0686982296,NULL,OTTICAVASARI@PEC.IT,OTTICAVASARI@PEC.IT,10
2133,"FRATELLI BIANCHI FU MICHELE & C SPA",,NULL,NULL,,"VIA PRENESTINA 944   00155 ROMA RM",,NULL,FRATELLI-BIANCHI@PEC.FRATELLI-BIANCHI.IT,FRATELLI-BIANCHI@PEC.FRATELLI-BIANCHI.IT,10
2134,"FRATELLI MORSILLI SRL",,Frosinone,Frosinone,,,,,,,10
2135,"FREE SERVICE ROMA SRL",,NULL,NULL,,,,NULL,FREESERVICEROMA@LEGALMAIL.IT,FREESERVICEROMA@LEGALMAIL.IT,16
2136,"FRETTE SRL",,NULL,NULL,,"VIA PRINCIPE AMEDEO,320121 MILANO (MI)",,,FRETTE@LEGALMAIL.IT,FRETTE@LEGALMAIL.IT,1
2137,"FUD S.R.L.",,NULL,NULL,,,,NULL,FUD@PEC.IT,FUD@PEC.IT,16
2138,"G & M SUPERMERCATI S.R.L.",,NULL,NULL,,,,NULL,GEMSUPERMERCATI@UNAPEC.IT,GEMSUPERMERCATI@UNAPEC.IT,10
2139,"G.S. GENERSIS SECURITY S.R.L.",,NULL,NULL,,,,,GENERSISECURITY@PEC.IT,GENERSISECURITY@PEC.IT,15
2140,"G4 VIGILANZA SPA",,NULL,NULL,,"Via Arturo Cozzaglio, 2225125 Brescia",0303512322,,g4vigilanzasrl@legalmail.it,g4vigilanzasrl@legalmail.it,17
2141,"ZAFFIRO 3 SRL",,Roma,Roma,,"Via Sebastiano Ziani 12/D-14  ",,,,zaffiro3@pecpvs.it,10
2142,"GALLI INNOCENTI & C.",,NULL,NULL,,,,NULL,amministrazione@pec.gallinnocenti.it,amministrazione@pec.gallinnocenti.it,10
2143,"GAMESTOP ITALY S.R.L.",,NULL,NULL,,,,NULL,ITALYRE@PEC.GAMESTOP.COM,ITALYRE@PEC.GAMESTOP.COM,10
2144,"GBO ITALY S.P.A.",,NULL,NULL,,"VIA DEGLI ALDOBRANDESCI 300   00163 ROMA RM",,NULL,GBOITALY@LEGALMAIL.IT,GBOITALY@LEGALMAIL.IT,10
2145,"GDR STORE SRL",,NULL,NULL,,,,NULL,gdrstore@pecpvs.it,gdrstore@pecpvs.it,10
2146,"GELMAR NOVAMUSA AUDITORIUM S.C.A.R.L.",,NULL,NULL,,"Via Portuense, 35100149 Roma (RM)",,,"a.corriano@gruppogiannelli.it; annamaria@studio-vaccaro.com",gnauditorium@pec.it,1
2147,"GELMAR S.R.L.",,NULL,NULL,,,,,annamaria@studio-vaccaro.com,info.gruppogiannelli@pec.it,10
2148,"GEMOS SOC.COOP.",,Faenza,Ravenna,48018,"VIA DELLA PUNTA 21",0546600711,00353180391,,GEMOS@GEMOSPEC.IT,13
2149,"GENS AUREA S.P.A.",,NULL,NULL,,"VIA GIUSEPPE MAZZINI 22
23870 OSNAGO (LC)",,NULL,GENSAUREASPA@LEGALMAIL.IT,GENSAUREASPA@LEGALMAIL.IT,10
2150,"GEP S.R.L.",,NULL,NULL,,"VIA DELLA REPUBBLICA SNC 00053 CIVITAVECCHIA RM",,NULL,GEPSRL@PEC.FERRITAL.IT,GEPSRL@PEC.FERRITAL.IT,16
2151,"GEPIR S.R.L.",,NULL,NULL,,,,NULL,GEPIRSRL@LEGALMAIL.IT,GEPIRSRL@LEGALMAIL.IT,3
2152,"GESPAC S.R.L.",,NULL,NULL,,"Via del Rame snc frazione Ponte Felcino (PG) 06134",,,gespac@actaliscertymail.it,gespac@actaliscertymail.it,10
2153,"GFM S.R.L.",,NULL,NULL,,"VIA TIBERINA KM 19300   00065 FIANO ROMANO RM",,NULL,GIEFFEEMMESRL@LEGALMAIL.IT,GIEFFEEMMESRL@LEGALMAIL.IT,10
2154,"GI & EM SRL",,NULL,NULL,,"VIA BAIOLA 111 80075 
FORIO (NA)",,NULL,GIEMSRLISCHIA@LEGALMAIL.IT,GIEMSRLISCHIA@LEGALMAIL.IT,10
2155,"GI.GROUP S.P.A.",,NULL,NULL,,,,NULL,gigroup@pec.gigroup.it,gigroup@pec.gigroup.it,1
2156,"GIA.MA S.R.L.",,NULL,NULL,,"Via degli Olmetti, 4600060 FORMELLO",0690400456,,GIAMA@POSTECERT.IT,GIAMA@POSTECERT.IT,17
2157,"GIA.MA SRL (reception)",,NULL,NULL,,"VIA DEGLI OLMETTI,4600060 FORMELLO (RM)",,,GIAMA@POSTECERT.IT,GIAMA@POSTECERT.IT,15
2158,"GIANNETTA S.A.S. DI GIANNETTA DANILO & C.",,NULL,NULL,,"S.S 148
Pomezia (RM)",,NULL,giannettasas@legalmail.it,giannettasas@legalmail.it,16
2159,"GIANNI VERSACE S.P.A.",,NULL,NULL,,"VIA MANZONI ALESSANDRO,38
20121 MILANO (m))",,NULL,LEGALE.VERSACE@PCERT.POSTECERT.IT,LEGALE.VERSACE@PCERT.POSTECERT.IT,1
2160,"GILAR S.R.L.",,NULL,NULL,,,,NULL,GILAR@ARUBAPEC.IT,GILAR@ARUBAPEC.IT,18
2161,"GILAS S.R.L.",,NULL,NULL,,"VIA FORMIA 1 00177 ROMA (RM)",,NULL,GILASSRL@LEGALMAIL.IT,GILASSRL@LEGALMAIL.IT,10
2162,"GIOMI CARE SRL",,Civitavecchia,Roma,,,,,GIOMICARE@PEC.IT,GIOMICARE@PEC.IT,10
2163,"GIOVE 2023 S.R.L.",,NULL,NULL,,,,NULL,GIOVE2023.SRL@LEGALMAIL.IT,GIOVE2023.SRL@LEGALMAIL.IT,10
2164,"GIPAF S.R.L.",,NULL,NULL,,"VIA DEL BANCO DI S. SPIRITO 
00188 ROMA RM",,NULL,GI.PA.F.SRL@LEGALMAIL.IT,GI.PA.F.SRL@LEGALMAIL.IT,16
2165,"GLOBAL SECURITY AGENCY S.R.L.",,NULL,NULL,,"VIA GIULIO EMANUELE RIZZO  
00178 ROMA RM",,NULL,GSAVIGILANZA@LEGALMAIL.IT,GSAVIGILANZA@LEGALMAIL.IT,17
2166,"GLOBAL SHARED SERVICES S.R.L.",,NULL,NULL,,,,NULL,globalsharedservices@legalmail.it,globalsharedservices@legalmail.it,10
2167,"GLOBAL STARNET LTD",,NULL,NULL,,"Via di Torre Rossa, 66
00165 Roma (RM)",,NULL,globalstarnet@gs.telecompost.it,globalstarnet@gs.telecompost.it,1
2168,"GLORIOUS S.R.L.",,NULL,NULL,,"via casilina n1883
00132 roma rm",,NULL,GLORIOUS.SRL@LEGALMAIL.IT,GLORIOUS.SRL@LEGALMAIL.IT,16
2169,"GN SERVICE SRL",,NULL,NULL,,,,NULL,GNSERVICESRL@EPEC.IT,GNSERVICESRL@EPEC.IT,8
2170,"GN SUPERMERCATI S.R.L.",,NULL,NULL,,,,NULL,gnsupermercatisrl@legalmail.it,gnsupermercatisrl@legalmail.it,10
2171,"GO.WE.FIUGGI SRL",,NULL,NULL,,"PIAZZA SANDRO PERTINI SNC   
03100 FROSINONE FR",,NULL,GOWEFIUGGI@LEGALMAIL.IT,GOWEFIUGGI@LEGALMAIL.IT,2
2172,"GRABISTROT 2019 SRL",,NULL,NULL,,"VIA DELLE FORNACI 24 
00165 ROMA RM",,NULL,GRABISTROT2019SRL@LEGALMAIL.IT,GRABISTROT2019SRL@LEGALMAIL.IT,16
2173,"GRANDI PROGETTI S.R.L.",,NULL,NULL,,"Via Corso, 101 
00186 Roma (RM)",,NULL,grandiprogettisrl@pec.it,grandiprogettisrl@pec.it,10
2174,"GRANDI STAZIONI RAIL S.P.A",,NULL,NULL,,,0647841342,NULL,societariogsspa@legalmail.it,societariogsspa@legalmail.it,1
2175,"GRANDI STAZIONI RETAIL S.p.A.",,NULL,NULL,,"VIA GIOVANNI GIOLITTI, 34
00185 ROMA (RM)",,NULL,gsretailspa@legalmail.it,gsretailspa@legalmail.it,10
2176,"GROWING S.R.L.",,NULL,NULL,,"VIA DEGLI SCIPIONI 181  00192",063385792,NULL,GROWING2019@LEGALMAIL.IT,GROWING2019@LEGALMAIL.IT,10
2177,"GRUPPO 323 S.R.L.",,NULL,NULL,,,,NULL,gruppo323@legalmail.it,gruppo323@legalmail.it,10
2178,"GRUPPO NEGOZI S.R.L.",,NULL,NULL,,,,NULL,GRUPPONEGOZI@LEGALMAIL.IT,GRUPPONEGOZI@LEGALMAIL.IT,2
2179,"CESAR S.P.A.",,Roma,Roma,,,,,postacertificata@pec.grupposdasrl.it,cesarspa@pec.it,1
2180,"GRUPPO SERVIZI ASSOCIATI SPA (GSA SPA)",,NULL,NULL,,"Via di Cervara, 143/B-C00155 Roma (RM)",,,grupposerviziassociati@legalmail.it,grupposerviziassociati@legalmail.it,15
2181,"GS S.P.A.- GRUPPO CARREFOUR",,Roma,Roma,00128,"Viale deli Eroi di Rodi, 10 ",,,gsspa@legalmail.it,gsspa@legalmail.it,12
2182,"GSN S.R.L.",,NULL,NULL,,"VIA DE GASPERI 55 NAPOLI NA",,NULL,GSN.SRL@LEGALMAIL.IT,GSN.SRL@LEGALMAIL.IT,10
2183,"GUESS ITALIA S.R.L.",,NULL,NULL,,,,NULL,GUESS.ITALIA@PEC.IT,GUESS.ITALIA@PEC.IT,10
2184,"H501X S.R.L.",,NULL,NULL,,,,,H501XSRL@LEGALMAIL.IT,H501XSRL@LEGALMAIL.IT,15
2185,"HEALT ASSISTANCE SCPA",,NULL,NULL,,,,NULL,HEALTHASSISTANCE@LEGALMAIL.IT,HEALTHASSISTANCE@LEGALMAIL.IT,10
2186,"HELP DONNA SOC.COOP. SOCIALE",,NULL,NULL,,"VIA DEI SALI, 30
67100 L'AQUILA (AQ)",,NULL,helpdonna@pec.it,helpdonna@pec.it,18
2187,"HERBALIFE ITALIA S.P.A.",,NULL,NULL,,"VIALE CITTA' D'EUROPA 819  00144 ROMA RM",,NULL,DIREZIONE.HERBALIFE@PEC.IT,DIREZIONE.HERBALIFE@PEC.IT,10
2188,"HEXISS VIGILANZA S.R.L.",,Roma,Roma,00138,"SALITA DI CASTEL GIUBILEO 151 ",,,HEXISSVIGILANZA@PEC.IT,HEXISSVIGILANZA@PEC.IT,17
2189,"HILL'S PET NUTRITION SRL",,NULL,NULL,,"VIA A.G.EIFFEL 15   00148 ROMA (RM)",06545491,NULL,HILLSPET_SRL@LEGALMAIL.IT,HILLSPET_SRL@LEGALMAIL.IT,10
2190,"HILTON ITALIANA S.R.L.",,NULL,NULL,,,,,,HILTONITALIANA@PEC.IT,8
2191,"HONDA MOTO ROMA S.P.A.",,NULL,NULL,,,,NULL,AMMINISTRAZIONE@PEC.HONDAMOTOROMA.COM,AMMINISTRAZIONE@PEC.HONDAMOTOROMA.COM,10
2192,"HOTEL EDEN S.R.L.",,NULL,NULL,,"Via Ludovisi,49
00187 Roma (RM)",,NULL,HOTELEDENSRL@PEC.IT,HOTELEDENSRL@PEC.IT,8
2193,"HOTEL LA PERGOLA S.R.L.",,NULL,NULL,,,,,,HOTELLAPERGOLA@LAMIAPEC.IT,8
2194,"HOTEL LAURENTIA SRL",,NULL,NULL,,,,NULL,HOTELLAURENTIA@LAMIAPEC.IT,HOTELLAURENTIA@LAMIAPEC.IT,8
2195,"HOTEL NAZIONALE",,NULL,NULL,,"PIAZZA DI MONTE CITORIO 131
00186 ROMA RM",,NULL,HOTEL.NAZIONALE@PEC.HOTELNAZIONALE.IT,HOTEL.NAZIONALE@PEC.HOTELNAZIONALE.IT,8
2196,"HOTEL OPCO S.R.L.",,NULL,NULL,,"P.ZZALE DUSE,2 
20122 MILANO",,NULL,bcopcosrl@legalmail.it,bcopcosrl@legalmail.it,8
2197,"HOTEL SERVICES MANAGEMENT SRLS",,NULL,NULL,,"VIA DELLA GIULIANA 35",,,,HOTELSERVICES.SRLS@LEGALMAIL.IT,8
2198,"ROBERTO NALDI COLLECTION S.R.L.",,Napoli,Napoli,,"Via Posillipo 9",,,,robertonaldicollection@pec.it,8
2199,"I.S.S.V. SPA - INTERNATIONAL SECURITY SERVICE VIGILANZA SPA",,Roma,Roma,00169,"Via Casilina, 1109 ",066554021,,,issvigilanza@pec.it,17
2200,"I.S.S.V. SPA (APPALTO RAI)",,NULL,NULL,,,,NULL,,NULL,15
2201,"I.S.S.V. SPA INTERNATIONAL SECURITY SERVICE VIGILANZA (RECEPTION)",,NULL,NULL,,"VIA CASILINA,110900169 ROMA (RM)",,,ISSVIGILANZA@PEC.IT,ISSVIGILANZA@PEC.IT,15
2202,"I.V.H. S.R.L. - INIZIATIVE VENETE S.C.",,NULL,NULL,,"ISOLA NOVA DEL RONCHETTO 14
30135 VENEZIA",,NULL,INFO@PEC.IVHSRL.IT,INFO@PEC.IVHSRL.IT,8
2203,"ICTS ITALIA S.R.L.",,NULL,NULL,,"Via Collegentilesco 29/b",0676260630,,ictsitalia@legalmail.it,ictsitalia@legalmail.it,17
2204,"ID KIDS ITALY S.R.L",,NULL,NULL,,"Via Cairoli 9
Bologna (BO)",,NULL,okaidiitalysrl@pec.it,okaidiitalysrl@pec.it,10
2205,"IGT LOTTERY S.P.A.",,NULL,NULL,,"V.LE CAMPO BOARIO 00154 ROMA RM",,NULL,IGTLOTTERY@PEC.IT,IGTLOTTERY@PEC.IT,10
2206,"IKEA ITALIA RETAIL SRL",,NULL,NULL,,"Via Casale Redicicoli, 501 00139 Roma (RM)",,,ikeaitaliaretail@legalmail.it,ikeaitaliaretail@legalmail.it,12
2207,"IL BANDOLO DELLA MATASSA S.R.L.",,NULL,NULL,,"Via Cavour, 108
00184 Roma",,NULL,cafuil.rm0@pec.cafuil.it,cafuil.rm0@pec.cafuil.it,1
2208,"INDEEP ARTIFICIAL INTELLIGENCE SRL",,NULL,NULL,,,,NULL,INDEEP@PECIMPRESE.IT,INDEEP@PECIMPRESE.IT,10
2209,"INNOVA S.P.A.",,NULL,NULL,,"Via Pontina Vecchia Km 31.700 
00040 Pomezia (RM)",,NULL,innovaspa@legalmail.it,innovaspa@legalmail.it,13
2210,"INNOVA S.P.A. (Civitavecchia)",,NULL,NULL,,,,NULL,INNOVASPA@LEGALMAIL.IT,INNOVASPA@LEGALMAIL.IT,13
2211,"IN'S MERCATO SPA",,Venezia,Venezia,,,,,,insmercato@pec.insmercato.it,10
2212,"INSIEME3PA S.R.L.",,NULL,NULL,,"VIA TIBERINA KM 19.300 
FIANO ROMANO (RM)",,NULL,INSIEME3PASRL@LEGALMAIL.IT,INSIEME3PASRL@LEGALMAIL.IT,1
2213,"INTERFLORA ITALIA S.P.A.",,NULL,NULL,,"VIA GIACOMO DINA 36
00128 ROMA RM",,NULL,interfloraitalia@pec.it,interfloraitalia@pec.it,10
2214,"INTERNATIONAL HEALTH SERVICE SOC.COOP.",,NULL,NULL,,"VIA MARCELLO ALESSIO 180   00133 ROMA RM",,NULL,IHS@LEGALMAIL.IT,IHS@LEGALMAIL.IT,18
2215,"INTERSOS ORG.UMAN. ONLUS",,Roma,Roma,,"VIA ANIENE 26A00198 ROMA RM",,,INTERSOS@PEC.IT,INTERSOS@PEC.IT,3
2216,"INVIMIT SGR S.P.A.",,NULL,NULL,,"VIA IV NOVEMBRE 144
00187 ROMA RM",,NULL,,NULL,10
2217,"IPERSERVICE SOC.COOP.",,NULL,NULL,,"VIA ALESSANDRO MANZONI 367   PERUGIA (PG)",,NULL,IPERSERVICE@PEC.IT,IPERSERVICE@PEC.IT,3
2218,"RETELIT DIGITAL SERVICES S.P.A.",,Roma,Roma,00155,"VIA BARDANZELLU 124",800585383,,,RETELITDIGITALSERVICES@PEC.IT,10
2219,"ISOCLEAN S.R.L.",,NULL,NULL,,,,NULL,ISOCLEAN@LEGALMAIL.IT,ISOCLEAN@LEGALMAIL.IT,8
2220,"ISS FACILITY SERVICES SRL",,NULL,NULL,,,,NULL,ISSFACILITYSERVICES@LEGALMAIL.IT,ISSFACILITYSERVICES@LEGALMAIL.IT,3
2221,"ISTITUTO DI VIGILANZA PRIVATA DELLA PROVINCIA DI VITERBO SRL",,NULL,NULL,,,,,personale@pecgruppomrc.it,personale@pecgruppomrc.it,17
